type,convs,filters,size,stride,pad,activation,batch_normalize,no.,from,layers
convolutional,0.0,16,3,1,1,leaky,1,0,,
maxpool,,,2,2,,,,1,,
convolutional,1.0,32,3,1,1,leaky,1,2,,
maxpool,,,2,2,,,,3,,
convolutional,2.0,64,3,1,1,leaky,1,4,,
maxpool,,,2,2,,,,5,,
convolutional,3.0,128,3,1,1,leaky,1,6,,
maxpool,,,2,2,,,,7,,
convolutional,4.0,256,3,1,1,leaky,1,8,,
maxpool,,,2,2,,,,9,,
convolutional,5.0,512,3,1,1,leaky,1,10,,
maxpool,,,2,1,,,,11,,
convolutional,6.0,1024,3,1,1,leaky,1,12,,
convolutional,7.0,256,1,1,1,leaky,1,13,,
convolutional,8.0,512,3,1,1,leaky,1,14,,
convolutional,9.0,255,1,1,1,linear,,15,,
yolo,,,,,,,,16,,
route,,,,,,,,17,,-4
convolutional,10.0,128,1,1,1,leaky,1,18,,
upsample,,,,2,,,,19,,
route,,,,,,,,20,,"-1, 8"
convolutional,11.0,256,3,1,1,leaky,1,21,,
convolutional,12.0,255,1,1,1,linear,,22,,
yolo,,,,,,,,23,,
